Time[Seconds], Balance/BTC
"1639744644.5959122","0.00300251",
"1639745179.1694953","0.00300251",
"1639745408.0072582","0.00300251",
"1639745432.4556503","0.00300251",
"1639745643.2861292","0.00300251",
"1639803876.5097146","0.00303261",
"1639803885.9306264","0.00303261",
